352503 62039
183830 349947
359907 4674
1096 1097
5395 224600
204336 1096
1096 8167
24460644 10459
97182 183830
1320 7234
94475 89759
71882 2481
5102166 183830
77111 663011
1096 26278
18033 15916
75014 7076
183830 18407
2553 23685
1913 47
278 1347
243 75
3441976 29082
37471 3783
237 237
2607476 30811
94475 349947
42176 91843
112 799
3429 183830
18033 18407
4491 799
268776 910381
94677 10673
533 18556
13986 17720
78144 62025
1097 1096
13640 18033
183284 217
690239 140258
4612 190
164 165
2776 7234
91894 268889
1096 25350
205579 4583
23928 42088
2553 22940
3783 2553
18033 12554
133273 10861
139996 6241
2319152 4583
174 4584
22146 22146
115318 212832
170540 183830
25277 59476
14274 1787
2552 21776
1320 38299
4583 246806
93887 42671
31411 3783
32590 2553
112 3323
33487 183830
8850 24810
326292 1402
455941 16010
91894 191
17995 138510
18407 11184
13621 97881
1096 337001
1096 1096
181265 66772
139996 217
160888 357775
4639 8638
1096 1097
753478 126951
50523 229723
295 39535
19141 85180
15371 799
12114 19068
3783 18407
34450 63897
7306 76
19750 19750
140258 12546
160727 38819
47919 518370
139996 1315
33581 57768
2553 123515
518321 10459
1096 4612
12748 13861
794312 246806
83473 30491
11534 170540
1472 13640
2319152 45193
59832 1096
59832 1096
532 11075
52098 5499
350585 1063
259049 2319152
19240 3330
952 24131
60105 114782
291263 112
106010 183830
895515 248
45193 45193
400560 94475
1315 351636
278 34526
431 23891
14714 35080
7234 259049
111779 3783
31984 18610
246806 183830
1096 1097
5805 33636
1096 183284
2553 2553
455941 1347
21776 21776
86048 19068
16011 94475
277117 352605
1096 961204
278 1913
1096 59832
36082 1370
22146 366853
183830 2806
10459 485072
246806 18407
7548 13986
1063 204336
1270160 243718
63897 14274
1096 18033
24252 17720
7548 259049
1082 10459
351551 36082
4359 15228
532 533
259049 295
17720 17720
160741 369868
4583 62002
1580263 355259
1874 30811
259049 1222
4753 13986
351 243
5448 4758
9752 2552
719229 16097
221229 79620
24921 7548
12554 13640
1221 7234
17720 1874
2553 961204
259049 2319152
13986 259049
5140 34921
1063 26187
249682 165255
421079 97881
1347 3403
403127 7338
25350 13986
6576 243
13640 12554
690239 160888
1320 4583
13986 3722648
2553 18033
2553 31904
2553 3783
246806 60305
533 532
54540 112
97182 183830
1982 520654
17720 5805
2607476 2884771
26106 7561
160832 32017
2553 32590
283511 7805
86930 2553
17053 94030
33027 94677
352605 183284
1096 217
183830 2229542
21776 272439
273307 3294736
690239 189
799 11706
2553 2167
1063 9752
1096 217
5435 2553
1096 106010
7548 7548
3914 3274
105956 10459
259049 2553
5093627 15228
259049 19141
88876 57768
4559 3783
124066 160727
278 1056
183830 15185
1222 259049
140258 2711008
2553 4584
59476 10459
30416 2553
237 59832
85180 122854
215513 4491
419379 4674
1370 29307
2553 5481
351479 42671
109865 1347
259049 11075
249682 160727
5087 1221
1564826 16010
12554 13640
1874 3324
69566 1140
4758 14927
183830 170540
1320 350585
11184 352605
38673 112
2551 2553
1063 5102166
4584 9245
91894 133273
431 140258
183830 183830
1096 18033
1347 19141
2553 2553
2989 365492
12528 80342
183830 71882
21827 243
7234 7234
109706 9262
170540 190
19528 3722648
19141 65518
2481 248
350585 1315
59832 217
237 1096
291263 30491
455941 7234
1063 4584
456 263903
507 94677
248 40509
13754 13754
3741 20292
217 18033
720 2553
42671 2989
2861 1320
371135 13986
11385231 21776
353247 1097
24231 170540
160741 174
4584 1063
637201 901
21776 21776
29082 1424841
5499 1913
456 456
4584 3783
1315 139996
15367 17053
114165 350585
4014 5087
59832 961204
359907 97881
1524 60709
12554 1320
109865 533
25277 5087
3324 145043
29082 1061607
532 67144
799 9519
190 59832
10861 1096
349747 42189
45296 21776
656 1097
46439 246806
18033 106010
217 18033
140258 272787
112 3403
38320 237
295 39535
32590 888130
15371 29082
216 20292
183830 959
4674 372448
18407 183830
2553 1063
40 2311
2257313 1317
7548 259049
3324 400758
961204 171101
7234 1221
241873 15228
249682 249682
16097 1566959
5 44406
44054 259049
57768 4014
204336 120775
5395 259049
1313353 170540
1980 4032
93887 4215
1082 91894
1580263 112
351636 1097
1315 30803
782 45193
109290 4491
355259 5102166
292611 4491
5102166 62959
1347 5585
9702 1347
1096 1096
97881 359907
4584 1063
24131 112
13782 351636
28126 7798
21776 3722648
183830 19141
91894 82970
10189 25970
2806 47
385 108865
250 7548
18033 351551
2553 1787
373934 1980
7327 363438
4940 36652
19750 183830
246806 959
18407 351398
150064 42088
1996 214907
3722648 59832
1347 11176
23928 355259
82970 183830
217 18033
415467 140258
14274 54347
8167 4359
3783 1320
5435 42671
1913 190
183830 2519
61972 57893
1063 4584
13034 10861
16707 183284
2553 22146
1096 183830
2553 190
170137 1370
175454 109706
33991 1096
2553 2553
2553 2553
4827 48774
1063 2553
31984 3783
1347 4775
259956 1913
20322 5448
139996 1315
4491 619605
353247 353247
230928 183830
77260 13415
208691 259049
128948 183830
363809 2553
30578 183830
220702 373934
15048 259049
2101181 112
1063 4587
11326 47
4674 4674
259049 13034
5093627 12748
170540 183830
111779 4609
1096 18033
1315 139996
183830 1927
19141 33991
24921 300676
190 45773
355259 246806
4753 34345
13986 42279
13640 364727
94475 160727
1096 18033
355259 46739
38436 4583
150815 30156
2553 2553
140258 355259
3835 3837
160885 352605
690239 1347
4584 4559
2553 22817
5805 5805
183830 134140
76 9033
38299 690239
11706 9417
14665 9311108
26096 140258
3783 8655
7548 259049
140258 33003
18033 3722648
34526 278
533 532
13034 18033
181904 111045
4584 16097
13986 13986
4612 11
1347 8850
422799 140258
13986 2553
140258 109865
61198 2776
35142 4559
431 71882
37615 359092
183830 244
13640 21827
45711 106010
224600 1424841
16097 17357
13621 2776498
1096 376175
1063 2553
4583 9621
17053 351551
5584 140258
25277 25277
18033 1096
217 237
259049 382573
217 246806
2552 118750
75 2663660
10561 4583
4827 69917
901 190
2989 41284
376175 21827
1222 23875
97182 14927
14723 18713
5499 1320
1913 4977
4827 290509
139996 80429
16097 59832
170540 183830
612 612
419379 7548
10459 4674
8167 63897
18033 3071
287853 21776
190 190
457058 1874
11534 8227187
5230 355259
350585 170540
190 59832
26034 190
17720 62039
24921 13986
19476 4612
7076 4827
82970 183830
106010 90961
431 217
212832 1712
243 139996
15371 9702
19528 17720
123515 40701
59832 217
1712 2961
3751 38673
183830 244
4674 4674
32287 19310178
18407 183830
1913 218265
18033 34921
2553 46272
552 16010
4612 2553
170540 1571198
3783 2553
213251 109865
3403 2605548
16707 81779
91894 112
91894 175454
130140 1063
18610 12554
1580263 13621
1118645 75
1913 2553
684194 684194
76 13640
1564084 229774
355259 266921
59832 17720
8986 57768
259049 2553
2553 38673
1927 4612
112 3324
3429 457058
140258 136423
15228 68244
183830 961204
243 7234
362708 35605
10727 552
33991 66772
422799 62025
782 799
39850 183830
3783 110797
6169 5093627
62002 9621
2989 7234
1082 140258
24921 7548
183830 243
94475 160727
6437 5805
157091 11534
21776 4583
51663 1575354
481279 139996
12114 50523
17053 351551
35599 190
961204 171101
351636 160741
11706 799
183830 47881
9702 5435
75285 61972
1315 3198210
799 2536
3192 201438
59832 4584
481279 26519
150815 259049
1781 109865
160727 85180
183830 183830
8638 13986
183284 217
21776 21776
183830 80983
355259 8850
140258 33991
2553 259956
297545 419379
21776 420995
38673 80429
190 4587
95363 9311108
95844 259049
1096 323181
9702 1063
3783 111779
278 18407
183830 183830
97881 214925
351636 190
1097 174
17995 459444
599789 17053
1063 1063
1222 385
351636 140617
1315 139996
422799 364727
4827 15669
160741 1096
3446 637201
29082 112
221158 221229
2552 4612
1667 283991
507 334240
37080 2553
27209 279716
376175 532
189038 114827
1096 59832
4674 10459
246806 157091
2551 3783
10954630 3038570
12554 160727
2553 2551
41284 392350
2552 2553
2553 2553
3783 111779
1097 243718
9972 243
2553 16073
1096 63897
94475 1221
1347 303443
722 4977
146155 1063
263206 17199
183830 18407
7548 13986
246806 217
109865 456
158626 10459
181265 2553
1771 76
62025 55708
20761 10495
5375 4940
217 217
140258 75221
1063 11
3737341 3737341
1913 183830
190 183830
158058 246806
1315 139996
450627 2553
1584278 3783
216091 216091
94475 45110
29180 2552
894028 97908
12546 4584
30811 1472
39535 3783
326292 2553
170137 94475
21776 252241
2553 2552
2553 230928
112 19750
259049 53974
140640 353247
7234 1221
2553 5481
